ID|date_updated|source|ID_source|date_updated_source|name_primary_en|name_secondary_en|categories_en|weight_package_g|weight_serving_g|energy_kJ_per_100g|energy_kcal_per_100g|fats_total_g_per_100g|fats_saturated_g_per_100g|fats_monounsaturated_g_per_100g|fats_polyunsaturated_g_per_100g|fats_trans_g_per_100g|fats_omega6_linoleic_g_per_100g|fats_omega3_alphalinolenic_g_per_100g|fats_omega3_icosapentaenoic_g_per_100g|fats_omega3_docosahexaenoic_g_per_100g|fats_cholesterol_g_per_100g|carbohydrates_available_g_per_100g|carbohydrates_sugars_g_per_100g|carbohydrates_starch_g_per_100g|carbohydrates_dietary_fibres_g_per_100g|proteins_total_g_per_100g|salt_sodium_chloride_total_g_per_100g|alcohol_g_per_100g|water_g_per_100g|vitaminA_RE_total_g_per_100g|vitaminA_RE_REA_g_per_100g|vitaminA_RE_retinol_pure_g_per_100g|vitaminA_RE_betacarotene_activity_g_per_100g|vitaminA_RE_betacarotene_pure_g_per_100g|vitaminB1_thiamine_g_per_100g|vitaminB2_riboflavin_g_per_100g|vitaminB6_pyridoxine_g_per_100g|vitaminB12_cobalamine_g_per_100g|vitaminB3_niacin_g_per_100g|vitaminB9_folate_g_per_100g|vitaminB5_panthothenic_g_per_100g|vitaminC_ascorbic_g_per_100g|vitaminD_calciferol_g_per_100g|vitaminE_alphatocopherol_g_per_100g|mineralK_potassium_g_per_100g|mineralNa_sodium_g_per_100g|mineralCl_chloride_g_per_100g|mineralCa_calcium_g_per_100g|mineralMg_magnesium_g_per_100g|mineralP_phosphorus_g_per_100g|mineralFe_iron_g_per_100g|mineralI_iodide_g_per_100g|mineralZn_zinc_g_per_100g|mineralSe_selenium_g_per_100g|name_primary_uk|name_secondary_uk|categories_uk|name_primary_de|name_secondary_de|categories_de|name_primary_fr|name_secondary_fr|categories_fr|name_primary_it|name_secondary_it|categories_it
generic_SwissFoodDB_product_11|2025-10-04|https://naehrwertdaten.ch/en/downloads/|11|2025-07-01|Veal, minced, raw|(null)|Meat and offal/Veal|(null)|(null)|443|105|2.6|1.1|1.1|0.3|(null)|0.21|0.02|0.016|0.006|0.072|0|0|(null)|0|20.5|0.1|0|75.3|0.000006|0.000005|(trace)|0.000005|(trace)|0.00008|0.00019|0.00051|0.0000016|0.00618|0.000007|0.0015|0|0.000005|0.0005|0.33|0.057|0.068|0.0049|0.02|0.19|0.0008|0.0000019|0.0033|(null)|Телятина, фарш, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Gehacktes, roh|Hackfleisch|Fleisch und Innereien/Kalb|Veau, haché, cru|(null)|Viande et abats/Veau|Vitello, macinato, crudo|Trito|Carne e frattaglie/Vitello
generic_SwissFoodDB_product_12|2025-10-04|https://naehrwertdaten.ch/en/downloads/|12|2025-07-01|Deer, entrecôte, raw|(null)|Meat and offal/Game|(null)|(null)|470|111|2.1|1.1|0.4|0.5|(null)|0.23|0.09|0.04|0.007|0.059|0|0|(null)|0|23.1|0.1|0|71.5|0|0|0|0|0|0.00026|0.0006|0.00099|0.0000063|0.00553|0.000006|0.00069|0|0.0000004|0.0002|0.32|0.053|0.04|0.0032|0.023|0.2|0.003|0.0000078|0.0029|(null)|Оленина, антрекот, сира|(null)|М'ясо та субпродукти/Дичина|Hirsch, Entrecôte, roh|(null)|Fleisch und Innereien/Wild|Cerf, entrecôte, crue|(null)|Viande et abats/Gibier|Cervo, entrecôte, crudo|(null)|Carne e frattaglie/Selvaggina
generic_SwissFoodDB_product_13|2025-10-04|https://naehrwertdaten.ch/en/downloads/|13|2025-07-01|Veal, chopped, raw|(null)|Meat and offal/Veal|(null)|(null)|415|98|1.1|0.4|0.4|0.3|(null)|0.14|0.02|0.02|0.006|0.066|0|0|(null)|0|22|0.1|0|75.2|0.000006|0.000005|(trace)|0.000005|(trace)|0.00008|0.00019|0.00046|0.0000016|0.0074|0.000007|0.0015|0|0.000005|0.0005|0.36|0.051|0.068|0.0048|0.022|0.2|0.0006|0.0000019|0.0033|0.0000069|Телятина, рубана, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Geschnetzeltes, roh|(null)|Fleisch und Innereien/Kalb|Veau, émincé, cru|(null)|Viande et abats/Veau|Vitello, sminuzzato, crudo|(null)|Carne e frattaglie/Vitello
generic_SwissFoodDB_product_14|2025-10-04|https://naehrwertdaten.ch/en/downloads/|14|2025-07-01|Veal, eye of round, raw|(null)|Meat and offal/Veal|(null)|(null)|439|104|1.8|0.7|0.8|0.3|(null)|0.21|0.02|0.017|0.004|0.063|0|0|(null)|0|21.9|0.1|0|74.6|0.000006|0.000005|(trace)|0.000005|(trace)|0.00008|0.00019|0.00046|0.0000016|0.0074|0.000007|0.0015|0|0.000005|0.0005|0.37|0.043|0.067|0.004|0.02|0.21|0.0005|0.0000018|0.0021|0.0000069|Телятина, очний м’яз, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Runder Mocken, roh|Saftplätzli|Fleisch und Innereien/Kalb|Veau, pièce ronde, tranche, crue|(null)|Viande et abats/Veau|Vitello, girello, cruda|Fettina|Carne e frattaglie/Vitello
generic_SwissFoodDB_product_15|2025-10-04|https://naehrwertdaten.ch/en/downloads/|15|2025-07-01|Veal, ragout, raw|(null)|Meat and offal/Veal|(null)|(null)|429|102|2.4|1|1.1|0.3|(null)|0.21|0.02|0.014|0.005|0.072|0|0|(null)|0|20|0.1|0|74.1|0.000006|0.000005|(trace)|0.000005|(trace)|0.00008|0.00019|0.00051|0.0000016|0.00619|0.000007|0.0015|0|0.000005|0.00029|0.33|0.057|0.068|0.0047|0.019|0.19|0.0006|0.0000008|0.0037|(null)|Телятина, рагу, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Voressen, roh|Ragout|Fleisch und Innereien/Kalb|Veau, ragoût, cru|(null)|Viande et abats/Veau|Vitello, spezzatino, crudo|(null)|Carne e frattaglie/Vitello
generic_SwissFoodDB_product_16|2025-10-04|https://naehrwertdaten.ch/en/downloads/|16|2025-07-01|Hare, filet, raw|(null)|Meat and offal/Other animal species|(null)|(null)|469|111|1.5|0.5|0.5|0.4|(null)|0.31|0.05|0.003|0.001|0.051|0|0|(null)|0|24.3|0.1|0|72.7|0|0|0|0|0|0.00005|0.00011|0.00074|0.0000087|0.004|0.000004|0.00069|0|(null)|0.00035|0.38|0.033|0.07|0.0045|0.028|0.21|0.0003|0.0000041|0.0006|(null)|Зайчатина, філе, сира|(null)|М'ясо та субпродукти/Інші види тварин|Kaninchen, Filet, roh|(null)|Fleisch und Innereien/Sonstige Tierarten|Lapin, filet, cru|(null)|Viande et abats/Autres espèces animales|Coniglio, filetto, crudo|(null)|Carne e frattaglie/Altre specie animali
generic_SwissFoodDB_product_17|2025-10-04|https://naehrwertdaten.ch/en/downloads/|17|2025-07-01|Lamb (sheep), filet, raw (Australia, New Zealand)|(null)|Meat and offal/Lamb, mutton|(null)|(null)|493|117|3.3|1.3|1|0.3|(null)|0.15|0.07|0.028|0.009|0.072|0|0|(null)|0|21.8|0.1|0|73|0.000009|0.000009|0.000009|0.000005|(trace)|0.00018|0.00006|0.00051|0.00000361|0.0067|0.000006|0.00092|0|0.0000029|0.0005|0.33|0.044|0.079|0.0038|0.023|0.2|0.0019|0.0000008|0.0023|0.0000087|Баранина (ягнятина), філе, сира (Австралія, Нова Зеландія)|(null)|М'ясо та субпродукти/Ягнятина, баранина|Lamm, Nierstück, roh (Australien, Neuseeland)|(null)|Fleisch und Innereien/Lamm, Schaf|Agneau, filet, cru (Australie, Nouvelle-Zélande)|Coquille|Viande et abats/Agneau, mouton|Agnello, lombata, cruda (Australia, Nuova Zelanda)|(null)|Carne e frattaglie/Agnello, pecora
generic_SwissFoodDB_product_18|2025-10-04|https://naehrwertdaten.ch/en/downloads/|18|2025-07-01|Lamb (sheep), racks, raw (Australia, New Zealand)|(null)|Meat and offal/Lamb, mutton|(null)|(null)|652|156|8.3|3.9|2.8|0.6|(null)|0.27|0.16|0.033|0.012|0.068|0|0|(null)|0|20.3|0.2|0|67.6|0.000009|0.000009|0.000009|0.000005|(trace)|0.00018|0.00006|0.00061|0.00000361|0.0066|0.000006|0.00057|0|0.0000029|0.0005|0.3|0.063|0.079|0.0075|0.024|0.18|0.0018|0.0000009|0.0022|0.0000072|Баранина (ягнятина), м'ясо, сира (Австралія, Нова Зеландія)|(null)|М'ясо та субпродукти/Ягнятина, баранина|Lamm, Racks, roh (Australien, Neuseeland)|(null)|Fleisch und Innereien/Lamm, Schaf|Agneau, rack, cru (Australie, Nouvelle-Zélande)|(null)|Viande et abats/Agneau, mouton|Agnello, carré, crudo (Australia, Nuova Zelanda)|(null)|Carne e frattaglie/Agnello, pecora
generic_SwissFoodDB_product_19|2025-10-04|https://naehrwertdaten.ch/en/downloads/|19|2025-07-01|Lamb, ragout, raw (Switzerland)|(null)|Meat and offal/Lamb, mutton|(null)|(null)|644|154|8.4|3.9|2.9|0.7|(null)|0.35|0.17|0.033|0.003|0.066|0|0|(null)|0|19.6|0.2|0|69.9|0|0|0|0|0|0.00018|0.00006|0.00036|0.00000361|0.00652|0.000006|0.00057|0|0.0000061|0.0005|0.31|0.06|0.075|0.0046|0.018|0.17|0.0013|0.0000007|0.0043|0.0000074|Баранина, рагу, сира (Швейцарія)|(null)|М'ясо та субпродукти/Ягнятина, баранина|Lamm, Voressen, roh (Schweiz)|Ragout|Fleisch und Innereien/Lamm, Schaf|Agneau, ragoût, cru (Suisse)|(null)|Viande et abats/Agneau, mouton|Agnello, spezzatino, crudo (Svizzera)|(null)|Carne e frattaglie/Agnello, pecora
generic_SwissFoodDB_product_20|2025-10-04|https://naehrwertdaten.ch/en/downloads/|20|2025-07-01|Chicken, breast, with skin, raw|(null)|Meat and offal/Poultry|(null)|(null)|637|152|6.5|2.1|3|1.2|(null)|1.01|0.1|0.006|0.001|0.07|0|0|(null)|0|23.3|0.1|0|69.9|0.000012|0.000012|0.000012|0|0|0.00008|0.00014|0.00077|0.0000004|0.00443|0.00001|0.00087|0|0.0000015|0.00062|0.32|0.034|0.069|0.0039|0.026|0.21|0.0003|0.00001|0.0005|0.00001|Куряче філе, зі шкірою, сира|(null)|М'ясо та субпродукти/Птиця|Poulet, Brust, mit Haut, roh|(null)|Fleisch und Innereien/Geflügel|Poulet, poitrine, avec peau, crue|(null)|Viande et abats/Volaille|Pollo, petto con pelle, crudo|(null)|Carne e frattaglie/Pollame
generic_SwissFoodDB_product_21|2025-10-04|https://naehrwertdaten.ch/en/downloads/|22|2025-07-01|Chicken, breast, without skin, raw|(null)|Meat and offal/Poultry|(null)|(null)|455|107|1|0.3|0.4|0.3|(null)|0.17|0.01|0.003|0.001|0.063|0|0|0|0|24.6|0.1|0|72.7|0.000006|0.000006|0.000006|0|0|0.00016|0.00011|0.00077|0.00000029|0.01092|0.000012|0.00087|0|0.0000015|0.00062|0.35|0.036|0.08|0.0033|0.027|0.22|0.0003|0.0000009|0.0005|0.000014|Курка, грудка, без шкіри, сира|(null)|М'ясо та субпродукти/Птиця|Poulet, Brust, ohne Haut, roh|Pouletschnitzel|Fleisch und Innereien/Geflügel|Poulet, poitrine, sans peau, crue|Escalope|Viande et abats/Volaille|Pollo, petto senza pelle, crudo|(null)|Carne e frattaglie/Pollame
generic_SwissFoodDB_product_22|2025-10-04|https://naehrwertdaten.ch/en/downloads/|24|2025-07-01|Chicken, leg, with skin, raw|(null)|Meat and offal/Poultry|(null)|(null)|682|163|10.2|3.2|5|1.8|(null)|1.45|0.14|0.006|0.002|0.08|0|0|(null)|0|17.9|0.2|0|68.9|0.00003|0.00003|0.00003|0|0|0.00014|0.00015|0.00057|0.00000077|0.00443|0.00001|0.00087|0|0.0000015|0.00062|0.3|0.063|0.1|0.0057|0.02|0.18|0.0005|0.000008|0.001|0.000028|Курка, ніжка, зі шкірою, сира|(null)|М'ясо та субпродукти/Птиця|Poulet, Schenkel, mit Haut, roh|(null)|Fleisch und Innereien/Geflügel|Poulet, cuisse, avec peau, crue|(null)|Viande et abats/Volaille|Pollo, coscia con pelle, cruda|(null)|Carne e frattaglie/Pollame
generic_SwissFoodDB_product_23|2025-10-04|https://naehrwertdaten.ch/en/downloads/|26|2025-07-01|Chicken, leg, without skin, raw|(null)|Meat and offal/Poultry|(null)|(null)|564|135|6.2|1.9|2.8|1.4|(null)|1.21|0.11|0.004|0.003|0.086|0|0|(null)|0|19.7|0.2|0|72.9|0.000005|0.000005|(trace)|0|0|0.00014|0.00027|0.00038|0.0000004|0.00443|0.00001|0.00087|0|0.0000015|0.00062|0.3|0.076|0.08|0.0056|0.02|0.19|0.0005|0.000005|0.0009|(null)|Курка, ніжка, без шкіри, сира|(null)|М'ясо та субпродукти/Птиця|Poulet, Schenkel, ohne Haut, roh|(null)|Fleisch und Innereien/Geflügel|Poulet, cuisse, sans peau, crue|(null)|Viande et abats/Volaille|Pollo, coscia senza pelle, cruda|(null)|Carne e frattaglie/Pollame
generic_SwissFoodDB_product_24|2025-10-04|https://naehrwertdaten.ch/en/downloads/|28|2025-07-01|Roe (deer), ragout, raw|(null)|Meat and offal/Game|(null)|(null)|444|105|1.9|0.5|0.3|0.5|(null)|0.21|0.06|0.026|0.006|0.065|0|0|(null)|0|22|0.1|0|74|0|0|0|0|0|0.00026|0.0006|0.00039|0.0000063|0.0064|0.000006|0.00069|0|0.0000003|0.00076|0.31|0.045|0.04|0.0037|0.02|0.18|0.0027|0.0000008|0.0047|(null)|Козуля (оленина), рагу, сира|(null)|М'ясо та субпродукти/Дичина|Reh, Ragout, roh|Rehpfeffer|Fleisch und Innereien/Wild|Chevreuil, ragoût (civet), cru|(null)|Viande et abats/Gibier|Capriolo, spezzatino, crudo|Ragù|Carne e frattaglie/Selvaggina
generic_SwissFoodDB_product_25|2025-10-04|https://naehrwertdaten.ch/en/downloads/|29|2025-07-01|Roe (deer), schnitzel, raw|(null)|Meat and offal/Game|(null)|(null)|445|105|1.7|0.6|0.4|0.6|(null)|0.28|0.04|0.03|0.011|0.075|0|0|(null)|0|22.5|0.1|0|72.5|0|0|0|0|0|0.00026|0.0006|0.00071|0.0000063|0.0064|0.000006|0.00069|0|0.0000003|0.00076|0.33|0.044|0.04|0.0042|0.022|0.2|0.0028|0.0000008|0.0021|(null)|Козуля (оленина), шніцель, сирий|(null)|М'ясо та субпродукти/Дичина|Reh, Schnitzel, roh|(null)|Fleisch und Innereien/Wild|Chevreuil, escalope, crue|(null)|Viande et abats/Gibier|Scaloppina di capriolo, cruda|(null)|Carne e frattaglie/Selvaggina
generic_SwissFoodDB_product_26|2025-10-04|https://naehrwertdaten.ch/en/downloads/|30|2025-07-01|Beef, entrecôte, steak, raw|(null)|Meat and offal/Beef|(null)|(null)|561|133|4.5|2|1.9|0.3|(null)|0.17|0.04|0.016|0.002|0.046|0|0|0|0|23.2|0.1|0|71|0.000007|0.000006|(trace)|0.00001|0.00001|0.00005|0.0001|0.00073|0.0000014|0.005|0.000006|0.00069|0|0.0000005|0.0009|0.36|0.042|0.054|0.0049|0.02|0.18|0.0013|0.000003|0.0034|0.000009|Яловичина, антрекот, стейк, сира|(null)|М'ясо та субпродукти/Яловичина|Rind, Entrecôte, roh|(null)|Fleisch und Innereien/Rind|Boeuf, entrecôte, crue|(null)|Viande et abats/Bœuf|Manzo, entrecôte, crudo|(null)|Carne e frattaglie/Manzo
generic_SwissFoodDB_product_27|2025-10-04|https://naehrwertdaten.ch/en/downloads/|32|2025-07-01|Beef, prime rib, raw|(null)|Meat and offal/Beef|(null)|(null)|692|165|9|4|3.3|0.7|(null)|0.26|0.08|0.016|0.001|0.058|0|0|(null)|0|21.1|0.1|0|68.6|0.000007|0.000006|(trace)|0.00001|0.00001|0.00004|0.00013|0.00041|0.0000014|0.005|0.000006|0.00072|0|0.0000005|0.00026|0.33|0.045|0.054|0.0044|0.018|0.17|0.0015|0.000003|0.005|0.000011|Яловичина, реберця вищого ґатунку, сира|(null)|М'ясо та субпродукти/Яловичина|Rind, Hohrücken, roh|(null)|Fleisch und Innereien/Rind|Boeuf, entrecôte parisienne, crue|(null)|Viande et abats/Bœuf|Manzo, bistecca, cruda|Schiena|Carne e frattaglie/Manzo
generic_SwissFoodDB_product_28|2025-10-04|https://naehrwertdaten.ch/en/downloads/|34|2025-07-01|Beef, eye of round, raw|(null)|Meat and offal/Beef|(null)|(null)|447|106|1.8|0.7|0.7|0.3|(null)|0.13|0.03|0.021|0.002|0.052|0|0|(null)|0|22.4|0.1|0|73.8|0.000007|0.000006|(trace)|0.00001|0.00001|0.00002|0.00012|0.00063|0.0000014|0.0045|0.000006|0.00072|0|0.0000005|0.0009|0.38|0.039|0.054|0.0051|0.02|0.19|0.001|0.000003|0.0028|0.000008|Яловичина, очний м’яз, сира|(null)|М'ясо та субпродукти/Яловичина|Rind, Runder Mocken, roh|Saftplätzli|Fleisch und Innereien/Rind|Boeuf, pièce ronde, tranche, crue|(null)|Viande et abats/Bœuf|Manzo, girello, crudo|Fettina|Carne e frattaglie/Manzo
